iter	MultiClass
133	0.1183599366
134	0.1183154084
135	0.1182279752
136	0.1181832621
137	0.1180490607
138	0.1180001837
139	0.1179640502
140	0.1179243925
141	0.1178868375
142	0.1178275445
143	0.1177863494
144	0.1177457472
145	0.1177042259
146	0.1176579569
147	0.1176158093
148	0.1175717742
149	0.1175175441
150	0.1174737128
151	0.117430738
152	0.1173854597
153	0.1173456877
154	0.1173059352
155	0.1172468128
156	0.1171613055
157	0.1171275141
158	0.1170887941
159	0.1170505474
160	0.1170049333
161	0.1169564856
162	0.1169102747
163	0.1168689411
164	0.1168110195
165	0.1167574381
166	0.1167140714
167	0.1166696442
168	0.1166329851
169	0.1164340324
170	0.1163991501
171	0.1163462252
172	0.116297088
173	0.1162408016
174	0.1162008291
175	0.1161602352
176	0.1161078074
177	0.116066578
178	0.1160227883
179	0.1159858446
180	0.115939853
181	0.115891278
182	0.1158581729
183	0.1158187713
184	0.1157790504
185	0.1157404632
186	0.1156985327
187	0.1156641578
188	0.1156260256
189	0.1155861478
190	0.1155453663
191	0.1154919859
192	0.1154016861
193	0.1153629618
194	0.1153040693
195	0.1152595539
196	0.1152085311
197	0.1151658705
198	0.1151193597
199	0.1150806634
200	0.1150404295
201	0.1149941351
202	0.1149486649
203	0.1149035117
204	0.1148642019
205	0.1148273845
206	0.114787951
207	0.1147515048
208	0.1147035714
209	0.1146623866
210	0.1146259155
211	0.1145912072
212	0.1145395198
213	0.114501335
214	0.1144588983
215	0.1144183167
216	0.1143666556
217	0.1143174144
218	0.1142784621
219	0.1142406846
220	0.1142000803
221	0.1141567102
222	0.114108569
223	0.114065292
224	0.1140253264
225	0.1139869631
226	0.1139455051
227	0.1139039623
228	0.1138521231
229	0.1138128036
230	0.1137742033
231	0.1137282409
232	0.1132970975
233	0.113254953
234	0.1132143863
235	0.113174954
236	0.1131271852
237	0.1130881126
238	0.1130409315
239	0.1129468493
240	0.1129060422
241	0.1128564408
242	0.1128178846
243	0.1127718465
244	0.1127200947
245	0.1126787016
246	0.1126398991
247	0.1125961025
248	0.1125603081
249	0.1125192193
250	0.1124790467
251	0.112437757
252	0.1124005648
253	0.1123623443
254	0.1123214178
255	0.1122793866
256	0.1122409489
257	0.1121995222
258	0.1121610055
259	0.1121195899
260	0.1120793155
261	0.1120402352
262	0.1119944187
263	0.1119595595
264	0.1119202226
265	0.1118795414
266	0.1118405696
267	0.1113171389
268	0.1112827837
269	0.1112411792
270	0.1112026155
271	0.1111636401
272	0.1111219311
273	0.1110855465
274	0.1110282503
275	0.1109906161
276	0.1109519265
277	0.1109072379
278	0.1108648574
279	0.1108254315
280	0.110777012
281	0.1107340082
282	0.1106798797
283	0.110644425
284	0.1105905345
285	0.1105553216
286	0.1105155361
287	0.1104842308
288	0.1104437995
289	0.1104063011
290	0.1103694081
291	0.1103260717
292	0.1102791298
293	0.1102368663
294	0.1101939725
295	0.1101475514
296	0.1100984445
297	0.1100579354
298	0.1100171287
299	0.1099798426
300	0.1099397975
301	0.1098948009
302	0.1098430834
303	0.1092911692
304	0.1092529961
305	0.1092132188
306	0.1091660076
307	0.109128202
308	0.1090868011
309	0.1090426881
310	0.1090054447
311	0.1089638893
312	0.1089222495
313	0.1088799433
314	0.108843319
315	0.1088056443
316	0.1087659828
317	0.1087317101
318	0.1086956584
319	0.1086601402
320	0.1086195566
321	0.1085834367
322	0.1085528708
323	0.1085125345
324	0.1084803088
325	0.1084375162
326	0.1083948017
327	0.1083634164
328	0.1083222016
329	0.1082865135
330	0.1082567812
331	0.1082188123
332	0.1081726756
333	0.1081352905
334	0.108095053
335	0.1080558741
336	0.1080243068
337	0.1079784087
338	0.1079453639
339	0.1071145552
340	0.1070727798
341	0.1070299724
342	0.1069912232
343	0.1069490379
344	0.1069153605
345	0.1068729337
346	0.1068367688
347	0.1067917023
348	0.1067500828
349	0.1067076738
350	0.1066627794
351	0.1066179986
352	0.1065772828
353	0.1065431194
354	0.1065017541
355	0.1064620657
356	0.1064231938
357	0.1056981095
358	0.1056549101
359	0.1056132848
360	0.1055806719
361	0.1055429166
362	0.105497129
363	0.1054563225
364	0.1054224394
365	0.1053804977
366	0.1053449291
367	0.1053056107
368	0.1052601535
369	0.1052176339
370	0.1051802609
371	0.10513736
372	0.1051039154
373	0.1050712729
374	0.1050263628
375	0.1049817914
376	0.1049326811
377	0.1048973924
378	0.1048542945
379	0.1048163855
380	0.1047749277
381	0.1047329265
382	0.1046940743
383	0.1046509341
384	0.1046160331
385	0.104583626
386	0.1045503532
387	0.1045160692
388	0.1044838591
389	0.1044430765
390	0.1040299895
391	0.103998415
392	0.103960516
393	0.1039235477
394	0.1038781889
395	0.1038427863
396	0.1038089513
397	0.1037705618
398	0.1037269509
399	0.1036944642
400	0.1036585097
401	0.1036227536
402	0.1035871511
403	0.1035556092
404	0.1035241171
405	0.1034707672
406	0.1034385964
407	0.1034086905
408	0.1033749813
409	0.1033343622
410	0.1032955319
411	0.1032566802
412	0.1032254613
413	0.1031922436
414	0.1031502108
415	0.1031133036
416	0.1030783521
417	0.1030401747
418	0.1030025851
419	0.1029655888
420	0.102928683
421	0.1028883667
422	0.1028517124
423	0.1028130294
424	0.102774085
425	0.1027385947
426	0.1026991945
427	0.1026607594
428	0.1026254032
429	0.1025883389
430	0.1025487698
431	0.102510532
432	0.1024740718
433	0.1024285741
434	0.1023890655
435	0.1023533068
436	0.1023166687
437	0.1022788778
438	0.1022375664
439	0.1021973157
440	0.1021558891
441	0.1021082913
442	0.1020688988
443	0.1020324888
444	0.1019639432
445	0.1019281982
446	0.1018951644
447	0.1018642844
448	0.1018280332
449	0.1017929724
450	0.1017595754
451	0.1017191965
452	0.1013997171
453	0.1013642015
454	0.1013282657
455	0.1012904037
456	0.1012503849
457	0.1012119377
458	0.1011738763
459	0.1011389614
460	0.1010978948
461	0.1010658817
462	0.1010262304
463	0.1009912397
464	0.1009472737
465	0.1009135121
466	0.1008743086
467	0.1008379719
468	0.1008077143
469	0.1007735199
470	0.1007417486
471	0.1007058811
472	0.1006716193
473	0.1006376961
474	0.100578889
475	0.1005388685
476	0.1005030613
477	0.1004682791
478	0.1004377022
479	0.1003988014
480	0.100358187
481	0.1003215403
482	0.1002876844
483	0.100256923
484	0.1002245743
485	0.1001804169
486	0.100145982
487	0.1001137623
488	0.1000757413
489	0.1000439994
490	0.1000124876
491	0.09996662136
492	0.09992718283
493	0.09989139958
494	0.09985530748
495	0.09982093894
496	0.09978311256
497	0.09974893444
498	0.09971069893
499	0.09967526087
500	0.09964429804
501	0.09936035437
502	0.09932649012
503	0.09929115635
504	0.09926337438
505	0.09922871109
506	0.09918381563
507	0.09914068831
508	0.09910764041
509	0.09907771392
510	0.09904652367
511	0.09901453682
512	0.09897461168
513	0.09894529129
514	0.0989074032
515	0.09887816231
516	0.09884063637
517	0.098797943
518	0.09876405373
519	0.0987279896
520	0.09869294321
521	0.09866163672
522	0.09862202001
523	0.09858965998
524	0.09855550437
525	0.09852392578
526	0.09848988997
527	0.09845871075
528	0.0984221895
529	0.09838656713
530	0.09744450837
531	0.09740480985
532	0.09736856982
533	0.09733812675
534	0.09730847976
535	0.09727393404
536	0.09724145474
537	0.09720839651
538	0.09691938122
539	0.09688738162
540	0.09685785994
541	0.09682430882
542	0.09679065256
543	0.09675634569
544	0.09672012886
545	0.09669274199
546	0.09665593827
547	0.09662201688
548	0.09658969696
549	0.09655865741
550	0.09620627302
551	0.09617354269
552	0.09613388007
553	0.09610013459
554	0.09606951396
555	0.09603802389
556	0.09600059747
557	0.0959621852
558	0.09592580921
559	0.09565421713
560	0.09562174996
561	0.09558968668
562	0.09555596347
563	0.0955242989
564	0.09549132795
565	0.0954569321
566	0.09542506055
567	0.09538969965
568	0.09535349611
569	0.09531740912
570	0.09528365073
571	0.09525066613
572	0.095217733
573	0.09517990283
574	0.09514423717
575	0.09511048652
576	0.09507849941
577	0.09504848292
578	0.09501722203
579	0.09498098106
580	0.09494850836
581	0.09491895619
582	0.09488874862
583	0.09483892806
584	0.09480208995
585	0.0947630927
586	0.09473016189
587	0.09469686998
588	0.09465818018
589	0.09462560097
590	0.09459507522
591	0.0945639357
592	0.09453308318
593	0.09450068024
594	0.09446336268
595	0.09442702014
596	0.09438737951
597	0.09435310787
598	0.09432118339
599	0.09428177215
600	0.09424765598
601	0.0942202536
602	0.09418678432
603	0.0941511239
604	0.09411549144
605	0.09408554972
606	0.0940526042
607	0.09402292562
608	0.09398849
609	0.09396139073
610	0.09392903775
611	0.09390007233
612	0.09386363444
613	0.09382766246
614	0.09379515097
615	0.09375712866
616	0.09371617031
617	0.09368342853
618	0.09365701783
619	0.09361765256
620	0.09358870713
621	0.09355052654
622	0.09351815693
623	0.09349156786
624	0.09314262362
625	0.09310961522
626	0.09307934396
627	0.09304671486
628	0.09300664707
629	0.0929714526
630	0.09294226938
631	0.09290832397
632	0.09287535637
633	0.09284281173
634	0.09281208626
635	0.09278371572
636	0.09274432367
637	0.09271482133
638	0.0926844318
639	0.09264793477
640	0.09261364
641	0.09258429869
642	0.09255877044
643	0.09252658148
644	0.09248642272
645	0.09245118184
646	0.09241909634
647	0.0923813203
648	0.0923459814
649	0.0923156367
650	0.09228758978
651	0.09225327207
652	0.0922240053
653	0.09218837031
654	0.09215510825
655	0.09212479386
656	0.09209282292
657	0.09205814104
658	0.09202354257
659	0.09199438151
660	0.09196001811
661	0.09192699609
662	0.09189463967
663	0.09186220135
664	0.0918333215
665	0.09179771379
666	0.09176336955
667	0.09173381479
668	0.09170234691
669	0.09167355507
670	0.0916487485
671	0.09161185128
672	0.09158245933
673	0.09154759933
674	0.09152052396
675	0.09148721915
676	0.09144947606
677	0.09142408576
678	0.09139565545
679	0.09136201461
680	0.09133439098
681	0.09130376453
682	0.09126950116
683	0.09123462254
684	0.0912034284
685	0.09117489954
686	0.09114859224
687	0.09112181621
688	0.09109255573
689	0.09106396709
690	0.09102974458
691	0.09100514862
692	0.09097762449
693	0.09094565457
694	0.0909117767
695	0.09088388286
696	0.09085729924
697	0.09082570304
698	0.09079632921
699	0.09076674274
700	0.09073359126
701	0.09070249882
702	0.09067079658
703	0.0906398867
704	0.09061006561
705	0.09058432575
706	0.09055303663
707	0.0905215291
708	0.09049473563
709	0.09042779433
710	0.09039597982
711	0.09036474844
712	0.09033709524
713	0.09030911245
714	0.09027626516
715	0.0902478007
716	0.09021765409
717	0.09019208553
718	0.09015467428
719	0.09012771059
720	0.09009740033
721	0.09004736721
722	0.09001701328
723	0.08999261981
724	0.0899674151
725	0.08993876024
726	0.0899108356
727	0.08987651868
728	0.08984166123
729	0.08981173761
730	0.08978348976
731	0.08975553305
732	0.0897227181
733	0.08969219806
734	0.08965918316
735	0.08963379857
736	0.08958769084
737	0.08955612166
738	0.08953003456
739	0.08950169974
740	0.08946941799
741	0.08910180208
742	0.08907254987
743	0.08902329117
744	0.08899510547
745	0.08896833261
746	0.08893838911
747	0.08891015528
748	0.08888005004
749	0.08884921926
750	0.0888208154
751	0.08879136888
752	0.08876326558
753	0.08873875812
754	0.08870716605
755	0.08867787808
756	0.08865205052
757	0.08862348369
758	0.08858974357
759	0.08855789877
760	0.08852807546
761	0.08850259479
762	0.08847373961
763	0.08844606033
764	0.08841579407
765	0.08838729027
766	0.088356302
767	0.08833023911
768	0.08830455096
769	0.08823505674
770	0.08820263433
771	0.08793452059
772	0.08790351532
773	0.08787783377
774	0.08785193717
775	0.08782894406
776	0.0878051862
777	0.08777771911
778	0.08774783537
779	0.08771780579
780	0.08768601376
781	0.08765816076
782	0.08763031804
783	0.08760327482
784	0.08757485763
785	0.08754910934
786	0.08751656588
787	0.08748660258
788	0.0874581502
789	0.08742777981
790	0.08739830999
791	0.08736719608
792	0.08734027837
793	0.08731306477
794	0.08728333332
795	0.0872533539
796	0.08722715396
797	0.087200968
798	0.08717102167
799	0.08566829597
800	0.08564407896
801	0.08561809196
802	0.08558763548
803	0.08556212623
804	0.08553474109
805	0.08549958685
806	0.08546939731
807	0.08544595981
808	0.08542070174
809	0.08539055488
810	0.08536593951
811	0.08533915434
812	0.08531222882
813	0.0852804041
814	0.08525104223
815	0.08522466675
816	0.08519716507
817	0.08517265385
818	0.08514586799
819	0.08511431424
820	0.08509152035
821	0.08505881135
822	0.08503141002
823	0.08500100657
824	0.08497140499
825	0.08494312794
826	0.08491721129
827	0.08489105783
828	0.08486447533
829	0.08483739026
830	0.08481420113
831	0.08478511364
832	0.08475333386
833	0.08472816589
834	0.08470220877
835	0.08467422572
836	0.08464749348
837	0.08461728114
838	0.08458825215
839	0.08455909344
840	0.08453222812
841	0.08450357547
842	0.08447473601
843	0.08445034517
844	0.08442058752
845	0.08439484886
846	0.08436797798
847	0.08434344077
848	0.08430354692
849	0.08427637249
850	0.08424609778
851	0.08421539094
852	0.08418798107
853	0.08416149365
854	0.08413506794
855	0.08410654654
856	0.08408134131
857	0.08405449913
858	0.0840278279
859	0.08397387841
860	0.08394867168
861	0.08392633187
862	0.08390126595
863	0.08387704286
864	0.08385148419
865	0.08382282929
866	0.08379561764
867	0.08377062619
868	0.08374253658
869	0.08371789167
870	0.0836901569
871	0.08366363228
872	0.08363749266
873	0.08361099113
874	0.08357168571
875	0.08354554854
876	0.08352012058
877	0.08349333011
878	0.08346782273
879	0.08343984683
880	0.08341368499
881	0.08338403687
882	0.08335243611
883	0.08332700495
884	0.08329855059
885	0.0832728677
886	0.08324731049
887	0.08322112479
888	0.08319709218
889	0.08317253138
890	0.08315011942
891	0.08312071882
892	0.08309030765
893	0.0830679078
894	0.08304752515
895	0.08302347402
896	0.0829984055
897	0.08297277615
898	0.08294767451
899	0.08292525864
900	0.08290375604
901	0.08288002584
902	0.08285902524
903	0.08283372005
904	0.08280953747
905	0.08278446232
906	0.08275673601
907	0.08273216973
908	0.0827032847
909	0.08267802609
910	0.08265462893
911	0.08262287451
912	0.082599444
913	0.08257591043
914	0.08255233474
915	0.08252947223
916	0.08228666298
917	0.08225386858
918	0.08222810423
919	0.08219638936
920	0.08216809969
921	0.0821396477
922	0.08211741207
923	0.08208825321
924	0.08206277531
925	0.0820327941
926	0.08200553481
927	0.0819794978
928	0.08195407777
929	0.08192802463
930	0.08190144988
931	0.08187827752
932	0.08185510776
933	0.0818282346
934	0.08179485778
935	0.0817675654
936	0.0817452932
937	0.08172103292
938	0.08169600479
939	0.08167372118
940	0.08164942848
941	0.08161790996
942	0.08158889523
943	0.08156239578
944	0.08153585338
945	0.08131700534
946	0.08129278356
947	0.08125634325
948	0.08123402718
949	0.08120871478
950	0.08118463431
951	0.0811623808
952	0.08113623103
953	0.0811154966
954	0.08109248422
955	0.08106973468
956	0.08102695683
957	0.08100224447
958	0.08098009016
959	0.08095513355
960	0.08093021096
961	0.08090583829
962	0.08088312951
963	0.0808603153
964	0.0808360977
965	0.08081291198
966	0.08079037011
967	0.08076617016
968	0.08074257632
969	0.0807184243
970	0.08069137966
971	0.08066856666
972	0.08064351574
973	0.08061650801
974	0.08059000578
975	0.08056713576
976	0.08054775667
977	0.0805213084
978	0.08049814518
979	0.08047657264
980	0.08045268638
981	0.08042844811
982	0.08040506881
983	0.08038187761
984	0.08035744406
985	0.08033254408
986	0.08030810618
987	0.08028078996
988	0.08025513164
989	0.08023209805
990	0.08020648832
991	0.08018264231
992	0.08015940638
993	0.0801365342
994	0.07991920928
995	0.07989612243
996	0.07981384877
997	0.07978755927
998	0.07976185196
999	0.07973644971
